"limite_superior","limite_inferior"
0.0082656,-0.0062225
0.014993370464118,-0.01500690709224
0.0124407099152757,-0.0095485306782071
0.0189003391728611,-0.0247981349341792
0.0229558104576706,-0.0245652818566223
0.0203204315510678,-0.0132161615704312
0.0138941143004938,-0.00904623716121364
0.0079953353728569,-0.0071606335745446
0.00965356888374163,-0.00992031130127293
0.00778078020224502,-0.00510509250419088
0.00647530447088146,-0.00654688352624708
0.00996154341520294,-0.0103135791866747
0.0122290310775765,-0.0127444842012146
0.00706333725139169,-0.00685102809417762
0.00735870282533125,-0.00488666429518726
0.00593985982795037,-0.00457548785138579
0.00642000313582927,-0.00992750080521848
0.00984702096110523,-0.00814524129112148
0.00717317006289756,-0.0083588887581677
0.00651721545642289,-0.00340632304066731
0.00560903536287643,-0.00674715476941228
0.00983367282214402,-0.00893237915519212
0.0072527505740426,-0.00948503879828506
0.00713153434249044,-0.00800840650271941
0.00810961708431463,-0.00558435531208677
0.0070689852299574,-0.00657345151878874
0.00809275916794279,-0.00900639444303319
0.00577774549378308,-0.00475404962325881
0.00396048207603915,-0.0032539939113712
0.00559175867756358,-0.00764229357658426
0.00766446061429512,-0.0066034776391273
0.00792527246646233,-0.0124431751957563
0.00917954912551327,-0.00800603177048185
0.00650470353449436,-0.00769289757768725
0.00929939455358916,-0.00623256897504465
