"fechaSen","fechaEjec","accion","precioEjec","regla"
"2015-09-01","2015-09-02","Compra",43090.97245618,"IF Adj.Close.RSI.14 is (44.7,51.9] THEN  is 1; (supportSize=6; laplace=0.875)"
"2015-09-03","2015-09-04","Venta por banda inferior",42812.29086939,"IF Williams.R.14 is (-16.2, Inf] and MFI.14 is (48.8,54.8] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2015-09-08","2015-09-09","Compra",43246.6379930387,"IF MFI.14 is (54.8,60.9] THEN  is 1; (supportSize=5; laplace=0.857142857142857)"
"2015-09-23","2015-09-24","Venta por banda inferior",42665.4654932887,"IF Williams.R.14 is (-64.1,-52.1] THEN  is -1; (supportSize=3; laplace=0.8)"
"2015-09-30","2015-10-01","Compra",42691.7385794775,"IF Adj.Close.RSI.14 is (44.7,51.9] THEN  is 1; (supportSize=6; laplace=0.875)"
"2015-10-01","2015-10-02","Venta por banda inferior",42380.3090775225,"IF Williams.R.14 is (-64.1,-52.1] THEN  is -1; (supportSize=3; laplace=0.8)"
"2015-10-02","2015-10-05","Compra",43285.4594140625,"IF Adj.Close.RSI.14 is (44.7,51.9] THEN  is 1; (supportSize=6; laplace=0.875)"
"2015-10-06","2015-10-07","Venta por banda superior",43754.9926612575,"IF Williams.R.14 is (-28.2,-16.2] and MFI.14 is (42.8,48.8] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2015-10-08","2015-10-09","Compra",44389.5212795475,"IF MFI.14 is (54.8,60.9] THEN  is 1; (supportSize=5; laplace=0.857142857142857)"
"2015-10-30","2015-11-03","Venta por banda superior",44826.4868995388,"IF Adj.Close.RSI.14 is (51.9,59] THEN  is -1; (supportSize=7; laplace=0.888888888888889)"
"2015-11-06","2015-11-09","Compra",44856.9114505712,"IF Comm.Chan.20.0.015 is (56.5,94.4] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2015-11-10","2015-11-11","Venta por banda inferior",44322.1415479763,"IF MFI.14 is (48.8,54.8] and Williams.R.14 is (-76,-64.1] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2015-11-13","2015-11-17","Compra",44026.88256861,"IF Dif.Aroon.25 is (-31.5,-10] and Williams.R.14 is [-Inf,-88] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2015-11-18","2015-11-19","Venta por banda superior",44500.1310061088,"IF Williams.R.14 is (-64.1,-52.1] THEN  is -1; (supportSize=3; laplace=0.8)"
"2015-11-24","2015-11-25","Compra",44455.455234375,"IF Adj.Close.RSI.14 is (44.7,51.9] THEN  is 1; (supportSize=6; laplace=0.875)"
"2015-11-26","2015-11-27","Venta por banda inferior",44047.8387895612,"IF Williams.R.14 is (-64.1,-52.1] THEN  is -1; (supportSize=3; laplace=0.8)"
"2015-12-08","2015-12-09","Compra",42634.5451710237,"IF Adj.Close.RSI.14 is [-Inf,23.2] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2015-12-15","2015-12-16","Venta por banda superior",43095.3120117188,"IF Williams.R.14 is (-64.1,-52.1] THEN  is -1; (supportSize=3; laplace=0.8)"
"2015-12-18","2015-12-21","Compra",43283.3036475862,"IF Adj.Close.RSI.14 is (44.7,51.9] THEN  is 1; (supportSize=6; laplace=0.875)"
"2016-01-11","2016-01-11","Venta fin periodo",40337.9765334525,"No aplica"
