"fechaSen","fechaEjec","accion","precioEjec","regla"
"2013-02-15","2013-02-18","Compra",44233.5737890625,"IF Adj.Close.RSI.14 is [-Inf,38.8] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2013-02-28","2013-03-01","Venta por banda inferior",43826.5749754612,"IF Williams.R.14 is (-62.6,-52.7] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2013-03-13","2013-03-14","Compra",43447.970146735,"IF Adj.Close.RSI.14 is [-Inf,38.8] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2013-03-25","2013-03-26","Venta por banda inferior",43177.42457532,"IF Williams.R.14 is (-62.6,-52.7] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2013-04-01","2013-04-02","Compra",44195.173340345,"IF Williams.R.14 is (-23.1,-13.3] THEN  is 1; (supportSize=2; laplace=0.75)"
"2013-04-12","2013-04-15","Venta por banda inferior",43400.1671048663,"IF MFI.14 is (64.8, Inf] THEN  is -1; (supportSize=3; laplace=0.8)"
"2013-04-15","2013-04-16","Compra",43266.6958255713,"IF Adj.Close.RSI.14 is [-Inf,38.8] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2013-04-23","2013-04-24","Venta por banda inferior",42551.0900390625,"IF Williams.R.14 is (-62.6,-52.7] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2013-04-24","2013-04-25","Compra",42485.1315524837,"IF Adj.Close.RSI.14 is [-Inf,38.8] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2013-05-28","2013-05-29","Venta por banda inferior",40566.9651272025,"IF Williams.R.14 is (-62.6,-52.7] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2013-06-05","2013-06-06","Compra",40430.7349318913,"IF Adj.Close.RSI.14 is [-Inf,38.8] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2013-06-26","2013-06-26","Venta fin periodo",38361.9231886012,"No aplica"
