"fechaSen","fechaEjec","accion","precioEjec","regla"
"2008-07-17","2008-07-18","Compra",28227.2622922925,"IF Adj.Close.RSI.14 is (41.5,49.1] and MFI.14 is [-Inf,38.1] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2008-07-30","2008-07-31","Venta por banda inferior",27401.868559695,"IF MFI.14 is (38.1,44.6] and Adj.Close.RSI.14 is (41.5,49.1] THEN  is -1; (supportSize=2; laplace=0.75)"
"2008-08-06","2008-08-07","Compra",27213.5595507812,"IF Adj.Close.RSI.14 is (49.1,51.3] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2008-08-15","2008-08-18","Venta por banda inferior",26978.1210131213,"IF Williams.R.14 is (-36,-23.2] and Adj.Close.RSI.14 is (51.3,55.7] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2008-09-22","2008-09-23","Compra",25091.4873270987,"IF Williams.R.14 is (-47.5,-36] and MFI.14 is (38.1,44.6] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2008-09-25","2008-09-26","Venta por banda superior",25390.9582396838,"IF Williams.R.14 is (-36,-23.2] and Adj.Close.RSI.14 is (51.3,55.7] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2008-09-30","2008-10-01","Compra",24913.5034375,"IF Williams.R.14 is (-47.5,-36] and MFI.14 is (38.1,44.6] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2008-10-16","2008-10-16","Venta fin periodo",20638.36461939,"No aplica"
