"fechaSen","fechaEjec","accion","precioEjec","regla"
"2011-04-28","2011-04-29","Compra",36916.0658741487,"IF Dif.Aroon.25 is (-48,6] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2011-05-02","2011-05-03","Venta por banda inferior",36153.2107622175,"IF Comm.Chan.20.0.015 is (-64.5,-53.4] THEN  is -1; (supportSize=2; laplace=0.75)"
"2011-05-03","2011-05-04","Compra",35799.987715345,"IF Adj.Close.RSI.14 is [-Inf,28.2] and Dif.Aroon.25 is [-Inf,-67.5] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2011-05-19","2011-05-20","Venta por banda inferior",35167.5794536238,"IF Comm.Chan.20.0.015 is (-53.4,-33.5] THEN  is -1; (supportSize=2; laplace=0.75)"
"2011-05-20","2011-05-23","Compra",35140.5678858675,"IF Williams.R.14 is (-79.6,-67.7] THEN  is 1; (supportSize=2; laplace=0.75)"
"2011-05-31","2011-06-01","Venta por banda superior",35560.7055033038,"IF MFI.14 is (58.2, Inf] and Williams.R.14 is (-29.2, Inf] THEN  is -1; (supportSize=2; laplace=0.75)"
"2011-06-03","2011-06-06","Compra",34932.2378125,"IF Williams.R.14 is (-79.6,-67.7] THEN  is 1; (supportSize=2; laplace=0.75)"
"2011-06-28","2011-06-29","Venta por banda superior",36375.0434620388,"IF MFI.14 is (58.2, Inf] and Williams.R.14 is (-29.2, Inf] THEN  is -1; (supportSize=2; laplace=0.75)"
"2011-07-18","2011-07-19","Compra",35865.5711866487,"IF Adj.Close.RSI.14 is (28.2,36.6] THEN  is 1; (supportSize=2; laplace=0.75)"
"2011-07-19","2011-07-20","Venta por banda inferior",35463.3011868975,"IF Comm.Chan.20.0.015 is (-64.5,-53.4] THEN  is -1; (supportSize=2; laplace=0.75)"
"2011-07-21","2011-07-22","Compra",35680.9193016325,"IF Williams.R.14 is (-79.6,-67.7] THEN  is 1; (supportSize=2; laplace=0.75)"
"2011-08-11","2011-08-12","Venta por banda inferior",33480.6277148438,"IF Williams.R.14 is (-58.7,-49.2] THEN  is -1; (supportSize=2; laplace=0.75)"
"2011-08-17","2011-08-18","Compra",33551.213784305,"IF Williams.R.14 is (-49.2,-29.2] and Comm.Chan.20.0.015 is (-33.5,-10.4] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2011-08-18","2011-08-19","Venta por banda inferior",33054.2256886013,"IF Comm.Chan.20.0.015 is (-53.4,-33.5] THEN  is -1; (supportSize=2; laplace=0.75)"
"2011-08-19","2011-08-22","Compra",33465.38451222,"IF Dif.Aroon.25 is (-48,6] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2011-08-24","2011-08-25","Venta por banda superior",34237.5217533038,"IF MFI.14 is (58.2, Inf] and Williams.R.14 is (-29.2, Inf] THEN  is -1; (supportSize=2; laplace=0.75)"
"2011-08-25","2011-08-26","Compra",33819.3316258512,"IF Dif.Aroon.25 is (-48,6] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2011-08-26","2011-08-29","Venta por banda superior",34463.5100535863,"IF MFI.14 is (58.2, Inf] and Williams.R.14 is (-29.2, Inf] THEN  is -1; (supportSize=2; laplace=0.75)"
"2011-08-29","2011-08-30","Compra",35072.7424952425,"IF Dif.Aroon.25 is (-48,6] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2011-08-31","2011-08-31","Venta fin periodo",35352.5923242187,"No aplica"
