"fechaSen","fechaEjec","accion","precioEjec","regla","puntaje_regla"
"2012-05-25","2012-05-28","Compra",37766.1897899137,"IF Williams.R.14 is (-85.4,-77.2] and Adj.Close.RSI.14 is (32.3,37.5] THEN  is 1; (supportSize=3; laplace=0.8)",3.84030240997324
"2012-06-19","2012-06-20","Venta por banda superior",38742.0875831325,"IF Comm.Chan.20.0.015 is (109, Inf] THEN  is -1; (supportSize=4; laplace=0.833333333333333)",5.07502556893176
"2012-06-26","2012-06-27","Compra",39663.1547508512,"IF Williams.R.14 is (-9.58,-5.54] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.9571482186913
"2012-07-03","2012-07-04","Venta por banda superior",40315.2678220162,"IF Comm.Chan.20.0.015 is (109, Inf] THEN  is -1; (supportSize=4; laplace=0.833333333333333)",5.09146684989545
"2012-07-04","2012-07-05","Compra",40275.5373585237,"IF Williams.R.14 is (-9.58,-5.54] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.97363121511418
"2012-07-17","2012-07-18","Venta por banda superior",40939.3988967338,"IF Comm.Chan.20.0.015 is (109, Inf] THEN  is -1; (supportSize=4; laplace=0.833333333333333)",5.10794984631833
