IF Comm.Chan.20.0.015 is [-Inf,-104] THEN  is 1; (supportSize=2; laplace=0.75)
IF MFI.14 is (50.7,55.2] THEN  is 1; (supportSize=2; laplace=0.75)
IF MFI.14 is (55.2,59.6] THEN  is -1; (supportSize=2; laplace=0.75)
IF Adj.Close.RSI.14 is (56.4,64] THEN  is -1; (supportSize=2; laplace=0.75)
IF Comm.Chan.20.0.015 is (-104,-72.1] THEN  is -1; (supportSize=1; laplace=0.666666666666667)
IF Comm.Chan.20.0.015 is (-40.3,-8.58] THEN  is -1; (supportSize=1; laplace=0.666666666666667)
IF Comm.Chan.20.0.015 is (-8.58,23.2] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF MFI.14 is (41.8,46.3] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Comm.Chan.20.0.015 is (86.6, Inf] THEN  is -1; (supportSize=2; laplace=0.5)
