"fechaSen","fechaEjec","accion","precioEjec","regla","puntaje_regla"
"2011-05-09","2011-05-10","Compra",35716.6686085238,"IF Williams.R.14 is (-88.3,-76.5] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.8517665993451
"2011-06-28","2011-06-29","Venta por banda superior",36375.0434620388,"IF Comm.Chan.20.0.015 is (86.3, Inf] THEN  is -1; (supportSize=6; laplace=0.75)",6.91175216721075
"2011-07-04","2011-07-05","Compra",36751.0234375,"IF Dif.Aroon.25 is (76.5, Inf] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.69856635342258
"2011-08-05","2011-08-08","Venta por banda inferior",32621.8308688913,"IF MFI.14 is (43.7,50.8] THEN  is -1; (supportSize=8; laplace=0.8)",8.89465039528205
"2011-08-08","2011-08-09","Compra",32255.8085422925,"IF MFI.14 is (41.8,46.1] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.85222414156857
"2011-08-10","2011-08-11","Venta por banda superior",32865.1468359375,"IF MFI.14 is (43.7,50.8] THEN  is -1; (supportSize=8; laplace=0.8)",8.91354120351729
"2011-08-11","2011-08-12","Compra",33648.4504101562,"IF MFI.14 is (41.8,46.1] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.87644694034519
"2011-08-26","2011-08-29","Venta por banda superior",34463.5100535863,"IF Williams.R.14 is (-38,-25.7] THEN  is -1; (supportSize=4; laplace=0.833333333333333)",4.85755613210995
