Date,Comm-Chan-20-0.015,Williams-R-14,Dif-Aroon-25,MFI-14,Adj Close-RSI-14,Clase
2010-02-12,-19.56962039432542,-26.594340546026586,-56.0,59.496724551373106,51.250696625967386,1
2010-02-15,-0.13008480232591607,-24.379274158417694,-56.0,64.71323870320158,52.3735449100833,0
2010-02-16,58.939468723448435,-0.0,-48.00000000000001,64.56801196440284,68.13646891890302,0
2010-02-17,126.00931468192933,-0.0,-48.0,75.4117338339223,72.4306448100823,0
2010-02-18,164.2524261363474,-2.014527694114419,-44.0,75.40955468783233,76.54053971374366,0
2010-02-19,152.91089786465153,-4.710542125247228,-36.0,85.38927804734881,76.55964276386354,-1
2010-02-22,128.49023951465722,-10.555465778282406,-36.0,77.2300122406102,69.7238258204031,1
2010-02-23,84.66350769436468,-18.36596028452809,-32.0,69.60055075597123,61.28653209031935,-1
2010-02-24,79.18209598860693,-20.98365543947382,56.0,70.74510364259402,58.5467670344266,1
2010-02-25,46.46047094651945,-34.783144448317394,56.0,63.885910546363924,52.43445890636404,0
2010-02-26,49.74767325263045,-35.58192806323145,56.0,55.83867101926045,51.78308532852913,0
2010-03-01,53.3621465317265,-28.417197578000742,56.0,55.17836216503888,57.27601141141011,0
2010-03-02,72.33230285992136,-13.890831558687712,56.0,62.43895291122852,66.92616635344964,0
2010-03-03,92.82296941224949,-4.338794284766651,88.0,63.59739680016085,73.92382495606662,0
2010-03-04,83.90043924484576,-18.997463115569108,88.0,57.569156074176824,65.77229084338317,0
2010-03-05,91.14047693240423,-6.383602901135711,96.0,59.810518367269026,71.40335434886633,-1
2010-03-08,93.5657246605543,-1.3774280093053655,88.0,59.66852573316455,73.21858214401743,1
2010-03-09,89.48848503349116,-9.466614780192923,88.0,52.585352650953986,72.83003627278703,0
2010-03-10,90.34492617335414,-16.089378867011355,88.0,44.56340843835962,72.22031642508779,0
2010-03-11,79.94451112281565,-8.736311679965333,96.0,42.79475816947823,75.00971379620488,0
2010-03-12,88.47445330861862,-11.081004834855522,92.0,44.38628553545628,72.84811279319624,0
2010-03-16,96.85709775728432,-3.6606857757057534,92.0,51.316267871493025,77.27598046483034,0
2010-03-17,116.40807538971221,-12.580876645528352,96.0,59.309999978539324,79.26615977375056,0
2010-03-18,105.79671784947267,-2.0785259800934583,96.0,66.15969447365941,83.18392016252973,0
2010-03-19,105.09264036801133,-0.21530371504466853,96.0,75.24223988609373,84.24549202507768,0
2010-03-22,109.47673573968851,-3.62280848981401,96.0,75.40363383295764,86.46238644761722,0
2010-03-23,122.38047376722929,-3.4677491872251065,64.0,75.73321768903928,89.57597310699798,-1
2010-03-24,104.58110451425067,-22.58750391199389,64.0,67.09465831976976,72.0966413247851,0
2010-03-25,88.72268779446229,-24.533399184764008,64.0,73.27491501068194,72.20161408596225,1
2010-03-26,79.30475553018442,-29.178957431508614,64.0,66.85812198181813,70.69264104649824,0
2010-03-29,93.9996636105356,-5.24513843581998,80.0,66.47899205338982,78.94051213615887,-1
2010-03-30,101.84354461901457,-15.352454963682785,80.0,67.00163755847504,77.38198877225527,1
2010-03-31,77.37551967793097,-26.12273422895138,80.0,64.97945850988091,65.46063592460142,0
2010-04-05,109.69544025861369,-10.224117541979778,92.0,66.41026532758946,77.14220725724606,-1
2010-04-06,124.5525270880975,-1.5555324729993398,96.0,71.22069322631756,80.21688895279216,0
2010-04-07,101.95487878712444,-15.951170512081408,92.0,63.97682904013838,68.44091261015848,1
2010-04-08,69.26304737330496,-21.426385620416266,88.0,56.413685557452695,64.25152416926568,0
2010-04-09,96.45471086267324,-0.020621593754603033,92.0,55.43379174069483,72.44149526374215,0
2010-04-12,100.27158067278793,-6.9310250809266964,96.0,52.52982145313297,72.74546109050749,0
2010-04-13,91.26425420149948,-12.58357667923564,92.0,46.298850562558044,70.16450764145848,0
2010-04-14,116.90227177723548,-0.0030299472403092346,88.0,47.127940744590305,78.09379439781463,-1
2010-04-15,123.03365555524911,-7.8543851482708575,92.0,54.46299931128364,78.54668673881,0
2010-04-16,52.2242921679669,-52.7898332685306,92.0,46.626272891440706,49.011372267914524,1
2010-04-19,-13.092266497160912,-72.65770922727242,84.0,46.8598434906179,42.48356769074197,-1
2010-04-20,32.69719234006293,-40.60336211145305,84.0,47.26546146912594,56.29277005293885,0
2010-04-21,7.431243551055438,-69.8643362131978,80.0,46.97330988536774,46.15690376667488,1
2010-04-22,-19.07737906636074,-55.780619642470505,76.0,56.40183024000265,51.01193120796286,0
2010-04-23,51.43878065737332,-36.51432780848208,72.0,56.64746354923833,57.175608801122955,-1
2010-04-26,54.37891361042294,-44.616635430621436,68.0,49.287378721288775,53.88571595688274,0
2010-04-27,-159.48650101102953,-100.0,-32.0,48.80584996941315,28.620073115157982,1
2010-04-28,-178.3820524614373,-69.12250812868575,-32.0,57.051698456520754,37.13657447807631,-1
2010-04-29,-117.72142290648151,-74.11817441579846,-32.0,49.92571155607203,35.49534038830342,0
2010-04-30,-124.6500242844022,-83.56354411379812,-31.999999999999993,42.98400151606665,32.374017263471956,0
2010-05-04,-171.94027519412313,-91.0307358358665,-48.0,41.16991340573475,24.32212519458151,0
2010-05-05,-167.90910307301277,-84.11869693535053,-52.0,33.38736482087445,22.8700672312667,0
2010-05-06,-170.90864516556005,-78.6740508967365,-56.0,27.034832992544438,17.226036634901803,1
2010-05-07,-144.87168235379767,-74.95239992025235,-56.0,34.46956625059275,20.631401601001023,0
2010-05-10,-72.78021208200408,-51.42887623460908,-56.0,40.43994864430619,43.96349765253841,0
2010-05-11,-65.67642651600156,-56.139270831694716,-56.0,35.36251768041343,41.16734592829936,0
2010-05-12,-50.110858039600714,-48.36311762782625,-56.0,41.14284813081047,47.524732008683145,-1
2010-05-13,-40.34805305685432,-49.4735135944763,-56.0,35.468280965891665,46.69339602063735,0
2010-05-14,-66.74421877708139,-65.28419536885747,-56.0,28.686406159645628,36.269704493320255,0
2010-05-17,-85.36404866007616,-69.70336236836978,-56.0,29.09557893364881,32.59129030705158,0
2010-05-18,-92.69536365959335,-81.2565910582836,-88.0,29.980863791248595,26.62687033044872,0
2010-05-19,-111.19073569392637,-86.78653038743067,-92.0,22.443644356698087,24.92577382064375,0
2010-05-20,-127.30373952530982,-96.23119942742822,-96.0,22.12511592127393,18.873243812296,1
2010-05-21,-114.45544261544492,-79.70790567338325,-72.0,30.759075033143233,27.37699471874151,-1
2010-05-24,-89.94621954521479,-73.86317256101152,-72.0,36.94786649494479,31.51217874599453,1
2010-05-25,-103.31470248992007,-78.64158654942798,-72.0,36.129187529369936,29.639828109086864,0
2010-05-26,-45.574559330604785,-52.165364310109105,-72.0,46.57097279644963,49.00936778551152,0
2010-05-27,13.974236966254313,-24.417435524554342,-72.0,46.868638465157005,61.744616434914796,0
2010-05-28,8.636539878107255,-39.103667793577635,-72.0,39.709361734441785,51.392788223446324,-1
2010-05-31,38.41509661729778,-18.81253173671491,-68.0,46.71463414216409,59.04149615915935,0
2010-06-01,-1.0576325852353432,-51.57316622626539,-60.0,39.125240908680524,45.65732028891634,1
2010-06-02,-9.038692582803899,-40.94733721366437,-60.0,44.23759435020482,48.48065045345828,-1
2010-06-03,-6.814677623657298,-38.70854453915238,-56.0,44.11084965509431,47.119161532445986,0
2010-06-04,-40.90940668938929,-55.23790668509586,-52.00000000000001,44.09528092079044,41.43043742597368,1
2010-06-07,-60.916593776594894,-67.59759626675059,-23.999999999999996,44.92318937337613,37.52200400086269,0
2010-06-08,-44.199632898126175,-51.96429829719415,-24.0,51.1624141059198,45.0830297700219,0
2010-06-09,-2.9184278595415223,-44.67929183398511,-24.0,58.8947795934537,48.43815923587439,0
2010-06-10,62.75762625690233,-10.67124682377071,-24.0,58.5652148804511,61.2460065263159,0
2010-06-11,108.21925351076167,-5.716676769523953,-24.0,58.883600769414315,64.36526646423974,0
2010-06-14,129.53327732586325,-14.818443672089163,-24.0,67.91603772533986,66.04653664389238,0
2010-06-15,136.81210980457504,-3.093897589888771,72.0,66.21402680522448,72.01352342946,0
2010-06-16,133.13964769722662,-2.9660546272668857,76.0,64.63380045506621,73.46100430347924,0
2010-06-17,116.82700788144918,-4.355625475628696,76.0,66.31387992449085,72.37290912299572,0
2010-06-18,108.58338522902402,-5.86209761047858,84.0,65.6276935635266,72.97197113565834,-1
2010-06-21,112.56795329061481,-15.72506928340933,88.0,75.09617341830236,74.0841843964807,0
2010-06-22,74.36747521274047,-31.54207256064127,88.0,68.60161760102311,57.43675813903279,0
