Date,Comm-Chan-20-0.015,Williams-R-14,mid_var_acum,Dif-Aroon-25,MFI-14,Adj Close-RSI-14,Clase
2017-06-16,-26.83800070978528,-46.720449611562046,0.0012617299847588193,24.0,56.566646534617306,51.0082616926228,0
2017-06-19,-12.432031963352667,-52.197653034442055,0.0019339381208953732,24.0,54.63514437299222,48.81689876379136,0
2017-06-20,-65.19619034102577,-69.7320569957144,-0.002483501348991557,24.0,58.63724881365637,43.1433746241054,0
2017-06-21,-72.62959029719525,-84.05774941583097,-0.0006664519970718263,24.000000000000004,52.22290520925956,41.138973485764915,1
2017-06-22,-88.59622344159561,-76.27213790248636,-0.002226744472420661,-12.0,51.807067510705465,43.224026216602994,0
2017-06-23,-72.57296202039691,-79.25974887017931,0.00135217416922373,-12.0,46.368488411219005,41.399064551435956,0
2017-06-26,-36.81411394645662,-43.83147386891492,0.0002627204922163173,-12.000000000000004,51.74044512738242,52.960217811061355,0
2017-06-27,-25.585389885617076,-54.92220207969969,0.0011556745147123237,-12.0,45.49802944845792,48.32348005891854,0
2017-06-28,71.89470666713484,-19.007276716288796,0.0031298327110758084,-12.0,51.20049305472277,61.061563568678174,0
2017-06-29,35.232510492104275,-39.213626158962704,-0.00029279271684146124,-12.0,51.85484492146453,52.6384154490894,0
2017-06-30,199.12097516510926,-3.894048749205633,0.0068672064093731056,88.0,52.32649877617414,72.76730655817242,0
2017-07-04,228.98208297872497,-13.297064157773494,0.010649947025404893,92.0,55.951310667904856,76.04680535337226,0
2017-07-05,191.20145781187054,-2.4747617811827323,0.0019970432225875356,96.0,55.63652251844837,79.96669321303791,0
2017-07-06,133.3056055085294,-20.65198443186916,-0.0020195686581483407,28.0,54.63776356485055,66.21433358273393,0
2017-07-07,103.02379248051871,-17.888608331938222,-0.003204316318168088,28.0,44.29198876155814,67.20369147751862,0
2017-07-10,143.8466073086193,-2.376884398820902,0.008006278596967231,40.0,55.39457721799632,77.14198358096071,0
2017-07-11,137.4149008560005,-17.1044033171517,0.005727511671733021,39.99999999999999,52.775541562188316,72.31098344311289,0
2017-07-12,136.12993195466498,-12.606012940721838,0.003267021872986886,48.0,63.28530821207342,76.9850024820474,0
2017-07-13,125.72884024668393,-5.790711897774277,0.0017114563082079037,52.0,65.67466670538607,79.14144277773845,0
2017-07-14,124.24480227345005,-5.376516951347758,0.00397067653305605,56.0,71.7917094225458,81.5664766347113,0
2017-07-17,116.79541693982067,-1.3182233134727266,0.001885799302615787,60.0,71.87526976294478,83.51080118876058,0
2017-07-18,95.43678593535829,-11.195366195335717,-0.0009132734910695106,60.0,71.51552162161232,71.59410519793634,0
2017-07-19,86.22870444666016,-11.736392061125299,0.0003215295064842305,60.0,64.8972733219635,70.9521112937431,0
2017-07-20,81.6349774689577,-10.190226721653776,0.0009090393470494451,60.0,69.56118080769775,72.23787165931668,0
2017-07-21,95.12481701211334,-3.947614229597568,0.004492520680626555,76.0,69.54717306972144,79.81480016781735,0
2017-07-24,92.63329774735331,-3.8097655534214803,0.0013829008939685306,80.0,70.68315921012906,81.23463693351967,-1
2017-07-25,94.58533997908523,-2.8424458597413897,0.0033748833450426563,84.0,70.71748466741815,81.92762423462024,0
2017-07-26,83.79465794378834,-8.29281972710347,-0.000524808533676091,84.0,70.00600379264495,74.41314677914818,0
2017-07-27,57.174166401235105,-28.665260700091423,-0.0039593187306631306,84.0,63.94966100568334,56.33870009780606,0
2017-07-28,31.55769981247052,-39.14076114707949,-0.006005529178394697,84.0,56.055363937635505,54.3933654494622,0
2017-07-31,20.248428212061498,-57.10866274772079,0.000450676822745244,76.0,56.506400034879576,45.95293555856135,0
2017-08-01,35.692959768292745,-54.05116802948964,0.003050219216854444,76.0,61.717471040294434,53.509792810118455,0
2017-08-02,31.643106911077226,-60.34768282214433,0.00015792708513906462,68.0,60.714893863726,53.71842042056486,0
2017-08-03,23.1088777722697,-54.33503226032188,-0.0015399933136646116,68.0,61.06020989549296,57.69682652010013,0
2017-08-04,30.022409069364578,-50.342524855210456,0.0016115072450326728,64.0,61.38448089003783,59.22919369810013,0
2017-08-07,50.94252899058895,-43.42958870451895,0.0026847603539708054,52.0,66.74938679150404,61.980630402478646,0
2017-08-08,56.75974947813496,-50.59228669989102,0.001507285112541723,52.0,67.24566124538075,57.535212918092554,0
2017-08-09,-15.124582489758271,-61.000405447095105,-0.005355159649979235,52.00000000000001,62.9053956755404,51.150628400185944,0
