"fechaSen","fechaEjec","accion","precioEjec","regla"
"2008-01-31","2008-02-01","Compra",29193.08489045,"IF Comm.Chan.20.0.015 is (42.9,86.5] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2008-02-25","2008-02-26","Venta por banda superior",29991.3035521838,"IF Williams.R.14 is (-5.15, Inf] THEN  is -1; (supportSize=2; laplace=0.75)"
"2008-02-27","2008-02-28","Compra",30439.0827415112,"IF Williams.R.14 is (-22.6,-5.15] THEN  is 1; (supportSize=2; laplace=0.75)"
"2008-03-31","2008-04-01","Venta por banda superior",31419.21993189,"IF Adj.Close.RSI.14 is (65.2,73.2] and Dif.Aroon.25 is (47,68] THEN  is -1; (supportSize=2; laplace=0.75)"
