"fechaSen","fechaEjec","accion","precioEjec","regla"
"2016-01-21","2016-01-22","Compra",41579.89167493,"IF Adj.Close.RSI.14 is (43.5,52] THEN  is 1; (supportSize=3; laplace=0.8)"
"2016-01-28","2016-01-29","Venta por banda superior",42893.5773783038,"IF Adj.Close.RSI.14 is (60.1,75] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2016-01-29","2016-02-02","Compra",43370.3723389925,"IF Comm.Chan.20.0.015 is (81.1, Inf] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2016-03-01","2016-03-02","Venta por banda superior",44341.1758743975,"IF Adj.Close.RSI.14 is (60.1,75] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2016-03-02","2016-03-03","Compra",44827.2926662663,"IF Comm.Chan.20.0.015 is (81.1, Inf] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2016-03-17","2016-03-18","Venta por banda superior",45552.2499754613,"IF Adj.Close.RSI.14 is (60.1,75] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
