"fechaSen","fechaEjec","accion","precioEjec","regla"
"2011-09-02","2011-09-05","Compra",34508.7207226562,"IF Dif.Aroon.25 is (-24,-16] THEN  is 1; (supportSize=2; laplace=0.75)"
"2011-10-21","2011-10-24","Venta por banda superior",35145.6402979762,"IF Comm.Chan.20.0.015 is (18.2, Inf] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2011-11-01","2011-11-03","Compra",36312.098784305,"IF Williams.R.14 is (-59.3,-39.6] THEN  is 1; (supportSize=2; laplace=0.75)"
"2011-11-07","2011-11-08","Venta por banda superior",37057.2555323512,"IF Comm.Chan.20.0.015 is (18.2, Inf] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2011-11-18","2011-11-22","Compra",36034.0048928288,"IF Williams.R.14 is (-59.3,-39.6] THEN  is 1; (supportSize=2; laplace=0.75)"
"2011-11-30","2011-12-01","Venta por banda superior",36755.1708398438,"IF Williams.R.14 is (-39.6,-17.6] THEN  is -1; (supportSize=3; laplace=0.8)"
"2011-12-14","2011-12-15","Compra",36232.2590577425,"IF Williams.R.14 is (-59.3,-39.6] THEN  is 1; (supportSize=2; laplace=0.75)"
"2011-12-22","2011-12-23","Venta por banda superior",37001.5845117187,"IF Williams.R.14 is (-39.6,-17.6] THEN  is -1; (supportSize=3; laplace=0.8)"
"2011-12-28","2011-12-29","Compra",36996.1503515625,"IF Williams.R.14 is (-59.3,-39.6] THEN  is 1; (supportSize=2; laplace=0.75)"
"2012-01-12","2012-01-12","Venta fin periodo",37264.7491696725,"No aplica"
