"fechaSen","fechaEjec","accion","precioEjec","regla"
"2015-09-01","2015-09-02","Compra",43090.97245618,"IF Comm.Chan.20.0.015 is (-35.9,-10.3] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2015-10-06","2015-10-07","Venta por banda superior",43754.9926612575,"IF Dif.Aroon.25 is (-55,-23] THEN  is -1; (supportSize=2; laplace=0.75)"
"2015-10-08","2015-10-09","Compra",44389.5212795475,"IF MFI.14 is (54.9,59.5] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2015-11-03","2015-11-04","Venta por banda superior",45387.7404051488,"IF Dif.Aroon.25 is (45, Inf] THEN  is -1; (supportSize=2; laplace=0.75)"
"2015-11-04","2015-11-05","Compra",45481.827265625,"IF Comm.Chan.20.0.015 is (56.4, Inf] and MFI.14 is (59.5, Inf] THEN  is 1; (supportSize=2; laplace=0.75)"
"2016-01-07","2016-01-08","Venta por banda inferior",40597.003125,"IF Dif.Aroon.25 is (-55,-23] THEN  is -1; (supportSize=2; laplace=0.75)"
