"fechaSen","fechaEjec","accion","precioEjec","regla"
"2012-01-17","2012-01-18","Compra",37117.4978858675,"IF Adj.Close.RSI.14 is [-Inf,42.4] and MFI.14 is (48.7,53.8] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2012-01-18","2012-01-19","Venta por banda superior",37731.7330814288,"IF Williams.R.14 is (-21.2,-7.95] and Dif.Aroon.25 is (79.5, Inf] THEN  is -1; (supportSize=2; laplace=0.75)"
"2012-01-19","2012-01-20","Compra",37546.9927734375,"IF Comm.Chan.20.0.015 is (102, Inf] and MFI.14 is (61.9,64.2] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2012-04-10","2012-04-11","Venta por banda superior",39114.79410657,"IF Williams.R.14 is (-47.1,-32.6] and Adj.Close.RSI.14 is (45.3,51.3] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
