"fechaSen","fechaEjec","accion","precioEjec","regla"
"2018-11-22","2018-11-23","Compra",41424.12823743,"IF MFI.14 is (41.8,46.1] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2019-01-03","2019-01-04","Venta por banda superior",42237.4464257813,"IF Williams.R.14 is (-15, Inf] THEN  is -1; (supportSize=5; laplace=0.857142857142857)"
"2019-01-07","2019-01-08","Compra",43411.6138571712,"IF MFI.14 is (54.8,60.9] THEN  is 1; (supportSize=5; laplace=0.857142857142857)"
"2019-01-17","2019-01-18","Venta por banda superior",44140.8108548663,"IF Williams.R.14 is (-15, Inf] THEN  is -1; (supportSize=5; laplace=0.857142857142857)"
