"fechaSen","fechaEjec","accion","precioEjec","regla"
"2009-11-25","2009-11-26","Compra",30981.7416696712,"IF Williams.R.14 is (-9.58,-5.54] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2009-12-02","2009-12-03","Venta por banda superior",32050.0295803275,"IF Williams.R.14 is (-14.5,-6.99] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2009-12-03","2009-12-04","Compra",32152.3053125,"IF Williams.R.14 is (-20.1,-11.8] and Adj.Close.RSI.14 is (64.9,67.4] THEN  is 1; (supportSize=2; laplace=0.75)"
"2010-01-05","2010-01-06","Venta por banda superior",32698.8283228163,"IF MFI.14 is (43.8,47.3] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2010-01-15","2010-01-18","Compra",32457.9473952075,"IF Williams.R.14 is (-85.4,-77.2] and Adj.Close.RSI.14 is (32.3,37.5] THEN  is 1; (supportSize=3; laplace=0.8)"
"2010-03-26","2010-03-26","Venta fin periodo",33126.6710742187,"No aplica"
